MWMI,Mike WiLL Made-It,2,"15,38461538",1,1,1
JoLu,Joyner Lucas,1,"7,692307692",1,1,3
Boid,Boi-1da,1,"7,692307692",1,1,1
JaSw,Jahaan Sweet,1,"7,692307692",1,1,1
PaRo,Paul Rosenberg,1,"7,692307692",1,1,1
ErBo,Erik Bodin,1,"7,692307692",1,1,1
HaWi,Håkan Wirenstrand,1,"7,692307692",1,1,1
FrWa,Fredrik Wallin,1,"7,692307692",1,1,1
YuNa,Yukimi Nagano,1,"7,692307692",1,1,1
Sone,S1,2,"15,38461538",1,1,1
Lone,Lonestarrmuzik,1,"7,692307692",1,1,1
SwAl,Swish Allnet,1,"7,692307692",1,1,1
MaRe,Mario Resto,1,"7,692307692",1,1,1
KeGo,Kevin Gomringer,1,"7,692307692",1,1,1
TiGo,Tim Gomringer,1,"7,692307692",1,1,1
TaKe,Tay Keith,1,"7,692307692",1,1,1
Royc,"Royce da 5'9""",1,"7,692307692",1,1,3
DwSi,Dwayne Simon,1,"7,692307692",1,1,1
Bobc,Bobcat,1,"7,692307692",1,1,1
LLCJ,LL Cool J,1,"7,692307692",1,1,1
TiSu,Tim Suby,1,"7,692307692",1,1,1
JusV,Justin Vernon,1,"7,692307692",1,1,1
DJBu,DJ Burton,1,"7,692307692",1,1,1
FrBa,Fred Ball,1,"7,692307692",1,1,1
JeRe,Jessie Reyez,2,"15,38461538",1,1,3
YuYa,Yutaka Yamada,1,"7,692307692",1,1,1
LiGo,Lisa Gomamoto,1,"7,692307692",1,1,1
NoAo,Norio Aono,1,"7,692307692",1,1,1
RoTr,Roger Troutman,1,"7,692307692",1,1,1
Künstler*in,Mamma Mia! Here We Go Again (Original Cast Of “Mamma Mia! Here We Go Again”,,,,,
Album,Motion Picture Soundtrack),,,,,
Tracks,18,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
BjUl,Björn Ulvaeus,18,100,7,7,1
BeAn,Benny Andersson,18,100,7,7,1
StAn,Stig Anderson,9,50,3,3,1
Künstler*in,Ed Sheeran,,,,,
Album,÷,,,,,
Tracks,12,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
EdSh,Ed Sheeran,12,100,7,7,2
JMcD,Johnny McDaid,7,"58,33333333",3,5,1
bebl,benny blanco,6,50,3,5,1
JuMi,Julia Michaels,1,"8,333333333",1,1,1
StMa,Steve Mac,1,"8,333333333",1,1,1
TTHa,"Tameka ""Tiny"" Harris",1,"8,333333333",1,1,1
Kand,Kandi,1,"8,333333333",1,1,1
KeBr,Kevin Briggs,1,"8,333333333",1,1,1
NiDu,Niamh Dunne,1,"8,333333333",1,1,1
StGr,Stan Graham,1,"8,333333333",1,1,1
EaMu,Eamon Murray,1,"8,333333333",1,1,1
LiBa,Liam Bailey,1,"8,333333333",1,1,1
AmWa,Amy Wadge,1,"8,333333333",1,1,1
FoVa,Foy Vance,2,"16,66666667",1,1,1
DMcK,Damian McKee,1,"8,333333333",1,1,1
StEa,Steve Earle,1,"8,333333333",1,1,1
RyTe,Ryan Tedder,1,"8,333333333",1,1,1
JeWa,Jessie Ware,1,"8,333333333",1,1,1
AmMa,Ammar Malik,1,"8,333333333",1,1,1
Künstler*in,Taylor Swift,,,,,
Album,reputation,,,,,
Tracks,15,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
TaSw,Taylor Swift,15,100,7,7,2
AlPa,Ali Payami,1,"6,666666667",1,1,1
Shel,Shellback,9,60,3,7,1
MaxM,Max Martin,9,60,3,7,1
Futu,Future,1,"6,666666667",1,1,3
EdSh,Ed Sheeran,1,"6,666666667",1,1,3
RoMa,Rob Manzoli,1,"6,666666667",1,1,1
RiFa,Richard Fairbrass,1,"6,666666667",1,1,1
FrFa,Fred Fairbrass,1,"6,666666667",1,1,1
JaAn,Jack Antonoff,6,40,3,5,1
OZGO,OZGO,1,"6,666666667",1,1,1
OsHo,Oscar Holter,1,"6,666666667",1,1,1
Künstler*in,P!ink,,,,,
Album,Beautiful Trauma,,,,,
Tracks,13,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
Pink,P!nk,13,100,7,7,2
